! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
C5H11O(55)          2     442.675     6.528     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=574.90 K, Pc=30.02 bar (from Joback method)
C5H11O(56)          2     442.675     6.528     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=574.90 K, Pc=30.02 bar (from Joback method)
C5H11O(57)          2     442.675     6.528     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=574.90 K, Pc=30.02 bar (from Joback method)
C6H13O(58)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C6H13O(59)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C6H13O(60)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C6H13O(61)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C6H13O(62)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C6H13O(63)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C6H13O(64)          2     456.780     6.800     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=593.22 K, Pc=27.41 bar (from Joback method)
C9H17(65)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C9H17(66)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C9H17(67)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C9H17(68)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C9H17(69)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C9H17(70)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C9H17(71)           2     452.473     6.922     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=587.63 K, Pc=25.74 bar (from Joback method)
C6H11(72)           2     421.309     6.357     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=547.15 K, Pc=30.93 bar (from Joback method)
C6H11(73)           2     421.309     6.357     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=547.15 K, Pc=30.93 bar (from Joback method)
C6H11(74)           2     421.309     6.357     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=547.15 K, Pc=30.93 bar (from Joback method)
C6H11(75)           2     421.309     6.357     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=547.15 K, Pc=30.93 bar (from Joback method)
C10H15(76)          2     479.349     6.890     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=622.53 K, Pc=27.64 bar (from Joback method)
C10H15(77)          2     479.349     6.890     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=622.53 K, Pc=27.64 bar (from Joback method)
C10H15(78)          2     469.576     6.819     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=609.84 K, Pc=27.94 bar (from Joback method)
C10H15(79)          2     469.576     6.819     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=609.84 K, Pc=27.94 bar (from Joback method)
C10H15(80)          2     469.576     6.819     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=609.84 K, Pc=27.94 bar (from Joback method)
C10H15(81)          2     469.576     6.819     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=609.84 K, Pc=27.94 bar (from Joback method)
C10H15(82)          2     469.576     6.819     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=609.84 K, Pc=27.94 bar (from Joback method)
C10H15(83)          2     469.576     6.819     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=609.84 K, Pc=27.94 bar (from Joback method)
C8H9(84)            2     399.300     5.949     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C8H9(85)            2     399.300     5.949     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C9H17O(86)          2     493.069     7.310     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=640.35 K, Pc=23.82 bar (from Joback method)
C9H17O(87)          2     520.585     7.650     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=676.08 K, Pc=21.94 bar (from Joback method)
C9H17O(88)          2     493.069     7.310     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=640.35 K, Pc=23.82 bar (from Joback method)
C8H15O(89)          2     476.691     7.000     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=619.08 K, Pc=26.22 bar (from Joback method)
C8H15O(90)          2     503.948     7.332     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=654.48 K, Pc=24.12 bar (from Joback method)
C8H15O(91)          2     476.691     7.000     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=619.08 K, Pc=26.22 bar (from Joback method)
C8H15O(92)          2     476.691     7.000     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=619.08 K, Pc=26.22 bar (from Joback method)
